Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_login (Unique users),af_login (Event counter),af_login (Sales in USD),af_purchase (Unique users),af_purchase (Event counter),af_purchase (Sales in USD),le_usercharactercreate (Unique users),le_usercharactercreate (Event counter),le_usercharactercreate (Sales in USD),le_usercharacterlevelup (Unique users),le_usercharacterlevelup (Event counter),le_usercharacterlevelup (Sales in USD)
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_MUA001_18歲-45歲(全)_LL(1-5),N/A,N/A,N/A,5,N/A,63,4,0.8000,0.0000,N/A,N/A,0.0000,N/A,5,36,0.0,0,0,0.0,5,5,0.0,5,61,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_MUA001_18歲-45歲(全)_名單(2-5),N/A,N/A,N/A,8,N/A,37,5,0.6250,0.0000,N/A,N/A,0.0000,N/A,8,14,0.0,0,0,0.0,8,8,0.0,8,57,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A001_13歲-45歲(全)_名單(2-1),N/A,N/A,N/A,1,N/A,3,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,2,0.0,0,0,0.0,1,1,0.0,1,5,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A001_18歲-45歲(全)_LL(1-1),N/A,N/A,N/A,39,N/A,217,18,0.4615,0.0000,N/A,N/A,0.0000,N/A,36,92,0.0,0,0,0.0,37,37,0.0,34,282,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A001_18歲-45歲(全)_名單(2-1),N/A,N/A,N/A,23,N/A,170,13,0.5652,0.0000,N/A,N/A,0.0000,N/A,23,89,0.0,0,0,0.0,23,23,0.0,22,231,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材A002_18歲-45歲(全)_名單(2-2),N/A,N/A,N/A,1,N/A,4,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,0,0,0.0,1,1,0.0,1,3,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材B001_18歲-45歲(全)_LL(1-3),N/A,N/A,N/A,4,N/A,15,1,0.2500,0.0000,N/A,N/A,0.0000,N/A,4,5,0.0,0,0,0.0,4,4,0.0,2,17,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材B001_18歲-45歲(全)_名單(2-3),N/A,N/A,N/A,3,N/A,10,1,0.3333,0.0000,N/A,N/A,0.0000,N/A,3,3,0.0,0,0,0.0,3,3,0.0,3,15,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-Android(TW)_素材B002_18歲-45歲(全)_LL(1-4),N/A,N/A,N/A,4,N/A,50,3,0.7500,0.0000,N/A,N/A,0.0000,N/A,4,13,0.0,0,0,0.0,4,7,0.0,4,63,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_AD_1,N/A,N/A,N/A,20,N/A,150,13,0.6500,0.0000,N/A,N/A,0.0000,N/A,18,51,0.0,0,0,0.0,18,18,0.0,17,147,0.0
2016-04-09,TW,None,Facebook Mobile App Install Ads,TW_Android_LAL(All)_0408-TW_Android_LAL(All)_0408_AD_3,N/A,N/A,N/A,2,N/A,7,1,0.5000,0.0000,N/A,N/A,0.0000,N/A,2,3,0.0,0,0,0.0,2,2,0.0,2,8,0.0
