Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_login (Unique users),af_login (Event counter),af_login (Sales in USD),le_usercharactercreate (Unique users),le_usercharactercreate (Event counter),le_usercharactercreate (Sales in USD),le_usercharacterlevelup (Unique users),le_usercharacterlevelup (Event counter),le_usercharacterlevelup (Sales in USD)
TW,None,0407_lucy_test02,None,N/A,1,N/A,1,1.0000,9,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,7,0.0,1,1,0.0,0,0,0.0
TW,None,0407_yun_test01,None,N/A,1,N/A,1,1.0000,25,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,11,0.0,1,1,0.0,1,14,0.0
TW,None,0407_yun_test02,None,N/A,1,N/A,1,1.0000,42,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,12,0.0,0,0,0.0,1,2,0.0
TW,None,0408gashwebsite,None,N/A,1,N/A,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,0,0,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Game(All)_0410-Android(TW)_素材A001_18歲-30歲(男)_興趣遊戲(1-1),N/A,N/A,N/A,3,N/A,14,1,0.3333,0.0000,N/A,N/A,0.0000,N/A,3,3,0.0,3,3,0.0,3,14,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Game(All)_0410-Android(TW)_素材B001_18歲-30歲(男)_興趣遊戲(1-2),N/A,N/A,N/A,1,N/A,4,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,1,0.0,1,1,0.0,1,3,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_Game(All)_0410-Android(TW)_素材B003_31歲-45歲(男)_興趣遊戲(2-3),N/A,N/A,N/A,4,N/A,14,2,0.5000,0.0000,N/A,N/A,0.0000,N/A,3,7,0.0,3,3,0.0,3,26,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_General(All)_0410-Android(TW)_素材A001_18歲-30歲(男)_興趣遊戲(1-1),N/A,N/A,N/A,1,N/A,4,1,1.0000,0.0000,N/A,N/A,0.0000,N/A,1,2,0.0,1,1,0.0,1,7,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_General(All)_0410-Android(TW)_素材A001_31歲-45歲(女)_興趣遊戲(4-1),N/A,N/A,N/A,2,N/A,3,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,2,2,0.0,2,2,0.0,1,1,0.0
TW,None,Facebook Mobile App Install Ads,TW_Android_General(All)_0410-Android(TW)_素材A001_31歲-45歲(男)_興趣遊戲(2-1),N/A,N/A,N/A,5,N/A,37,2,0.4000,0.0000,N/A,N/A,0.0000,N/A,5,15,0.0,5,5,0.0,5,43,0.0
